"","Kode","Jenis Plastik","Cd","Hg","Pb","Sb"
"1","EU_R_A_1.1","EU_R_A",1.64934482918663,553.659420798793,662.824664557004,5120.79076242657
"2","EU_R_A_1.2","EU_R_A",1.99545590988163,581.697130170177,580.306821896187,4774.53603570726
"3","EU_R_A_2.1","EU_R_A",1.39366362283923,475.160146578083,500.439985557391,4223.30903839486
"4","EU_R_A_2.2","EU_R_A",2.03647316223767,469.939555984884,530.968518117951,4745.34484691025
"5","EU_R_A_3.1","EU_R_A",2.12686662594264,381.611814292941,469.063565822565,5366.23554157928
"6","EU_R_A_3.2","EU_R_A",3.30255527007851,350.48165084564,503.471957514485,6021.75993228067
"7","EU_R_B_1.1","EU_R_B",4.15737086570029,46.4112152045268,22.23774124829,81.9474693614001
"8","EU_R_B_1.2","EU_R_B",5.04957481304754,46.0883830554679,26.928588674241,81.8527874132629
"9","EU_R_B_2.1","EU_R_B",5.53972254700042,29.179084734228,95.015934172598,81.8415068514819
"10","EU_R_B_2.2","EU_R_B",4.67262701884639,31.7141373697418,82.7740056928891,81.9104464811265
"11","EU_R_B_3.1","EU_R_B",5.46112396945174,43.5216425427917,43.4387154042839,81.9322310016972
"12","EU_R_B_3.2","EU_R_B",4.53731472816016,42.5347926887327,43.5661016736353,82.069086745528
"13","EU_R_C_1.1","EU_R_C",3,197.503062715197,777.099630979773,141.065113705025
"14","EU_R_C_1.2","EU_R_C",3,233.121998460706,670.93803908101,157.211816138568
"15","EU_R_C_2.1","EU_R_C",3,193.77541062773,393.510897443339,130.666886389241
"16","EU_R_C_2.2","EU_R_C",3,155.222286173858,462.157758969243,119.459008817377
"17","EU_R_C_3.1","EU_R_C",3,160.594707901809,499.385158495024,153.656573837905
"18","EU_R_C_3.2","EU_R_C",3,160.885227714585,478.880116137655,133.448957270021
"19","EU_V_A_1.1","EU_V_A",3,434.796792374598,497.934805561538,476.667303796821
"20","EU_V_A_1.2","EU_V_A",3,415.567091321646,418.551921645461,501.385142925087
